Country,Year,Orphans,Adults,All_Ages,AIDS_Related
Afghanistan,1990,44,8,10,1
Algeria,1990,219,24,26,2
Angola,1990,5914,849,1128,279
Argentina,1990,632,391,446,55
Australia,1990,2393,838,843,5
Azerbaijan,1990,3,1,1,0
Bahamas,1990,198,58,61,4
Bangladesh,1990,0,0,0,0
Belarus,1990,0,0,0,0
Belize,1990,3,1,1,0
Benin,1990,125,46,69,25
Bolivia (Plurinational State of),1990,405,109,128,19
Botswana,1990,1629,484,725,240
Brazil,1990,27994,7988,8660,672
Burkina Faso,1990,19400,4260,5759,1499
Burundi,1990,2059,407,573,167
C?te d'Ivoire,1990,17956,5610,6882,1274
Cameroon,1990,9583,2401,3368,966
Cape Verde,1990,166,29,40,11
