"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At","Artist Genres","Album Genres","Label","Copyrights"
"spotify:track:1boXOL0ua7N2iCOUVI1p9F","Japanese Denim","spotify:artist:20wkVLutqVOYrc0kxFs7rA","Daniel Caesar","spotify:album:5qfhZ5YkZ4LhEUbYgjrWt6","Get You - Single","spotify:artist:20wkVLutqVOYrc0kxFs7rA","Daniel Caesar","2016-10-21","https://i.scdn.co/image/ab67616d0000b273617c314e94693fad9a26f798","1","2","270846","https://p.scdn.co/mp3-preview/a01e6e1cdeef8a826bbf8c8657ca448c6714468a?cid=9950ac751e34487dbbe027c4fd7f8e99","true","77","spotify:user:recks11","2020-10-23T17:50:47Z","canadian contemporary r&b,pop","","Daniel Caesar","C 2016 Daniel Caesar, P 2016 Daniel Caesar"
"spotify:track:6zi8ozR3RVkNNvPM9b0dNd","Learn Ya","spotify:artist:4IVAbR2w4JJNJDDRFP3E83","6LACK","spotify:album:3BDYBcdbGVRIDxy20G2Mp2","FREE 6LACK","spotify:artist:4IVAbR2w4JJNJDDRFP3E83","6LACK","2016-11-18","https://i.scdn.co/image/ab67616d0000b273961c232973ddc027ab8bbfc5","1","5","215680","","true","0","spotify:user:recks11","2020-10-23T17:50:47Z","alternative r&b,atl hip hop,hip hop,melodic rap,pop rap,rap,trap","","LVRN/Interscope Records","C © 2016 LVRN/Interscope Records, P ℗ 2016 LVRN/Interscope Records"
"spotify:track:5irqvOUbWsUefjZ8KPSQ66","Luving U","spotify:artist:4IVAbR2w4JJNJDDRFP3E83","6LACK","spotify:album:7iwGw8ob3YLqZrbKzGFnHi","FREE 6LACK","spotify:artist:4IVAbR2w4JJNJDDRFP3E83","6LACK","2016-11-18","https://i.scdn.co/image/ab67616d0000b273e4f13cd87b3b1ead6735a520","1","7","252893","https://p.scdn.co/mp3-preview/eea5ca3e05f39e93682f281845f87d2ee2ef5aa3?cid=9950ac751e34487dbbe027c4fd7f8e99","true","65","spotify:user:recks11","2020-10-23T17:50:47Z","alternative r&b,atl hip hop,hip hop,melodic rap,pop rap,rap,trap","","LVRN Records","C © 2016 LVRN/Interscope Records, P ℗ 2016 LVRN/Interscope Records"
"spotify:track:2TbfqLPwTECLWFzyJ84j6E","Durt","spotify:artist:0CkbPVBpOwwz9NPPglFKyq","RAY BLK","spotify:album:1P29D0CPo7YeQnUUL13SEh","Durt","spotify:artist:0CkbPVBpOwwz9NPPglFKyq","RAY BLK","2016-10-28","https://i.scdn.co/image/ab67616d0000b273baddab1a679081d20238c1e3","1","7","234131","https://p.scdn.co/mp3-preview/40c33134c3e7c32e1189069f206820d3d99c19d0?cid=9950ac751e34487dbbe027c4fd7f8e99","true","30","spotify:user:recks11","2020-10-23T17:50:47Z","electra,uk contemporary r&b","","RAY BLK","C 2016 RAY BLK, P 2016 RAY BLK"
"spotify:track:593W4qZOwwdqF6YnimJjL6","Doves In The Wind (feat. Kendrick Lamar)","spotify:artist:7tYKF4w9nC0nq9CsPZTHyP, spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","SZA, Kendrick Lamar","spotify:album:76290XdXVF9rPzGdNRWdCh","Ctrl","spotify:artist:7tYKF4w9nC0nq9CsPZTHyP","SZA","2017-06-09","https://i.scdn.co/image/ab67616d0000b2734c79d5ec52a6d0302f3add25","1","3","266080","https://p.scdn.co/mp3-preview/cda1986f676bdd1eb0cd4ef1f3abb4fa6b0af5f7?cid=9950ac751e34487dbbe027c4fd7f8e99","true","71","spotify:user:recks11","2020-10-23T17:50:47Z","pop,pop rap,conscious hip hop,hip hop,rap,west coast rap","","Top Dawg Entertainment/RCA Records","P (P) 2017 Top Dawg Entertainment, under exclusive license to RCA Records"
"spotify:track:6gU9OKjOE7ghfEd55oRO57","The Weekend","spotify:artist:7tYKF4w9nC0nq9CsPZTHyP","SZA","spotify:album:76290XdXVF9rPzGdNRWdCh","Ctrl","spotify:artist:7tYKF4w9nC0nq9CsPZTHyP","SZA","2017-06-09","https://i.scdn.co/image/ab67616d0000b2734c79d5ec52a6d0302f3add25","1","6","272186","https://p.scdn.co/mp3-preview/f4eb81aee870f719442004e9d66e9c2603ea4819?cid=9950ac751e34487dbbe027c4fd7f8e99","true","77","spotify:user:recks11","2020-10-23T17:50:47Z","pop,pop rap","","Top Dawg Entertainment/RCA Records","P (P) 2017 Top Dawg Entertainment, under exclusive license to RCA Records"
"spotify:track:6Vmow8PuUaU7W1T2WWLZk2","Go Gina","spotify:artist:7tYKF4w9nC0nq9CsPZTHyP","SZA","spotify:album:76290XdXVF9rPzGdNRWdCh","Ctrl","spotify:artist:7tYKF4w9nC0nq9CsPZTHyP","SZA","2017-06-09","https://i.scdn.co/image/ab67616d0000b2734c79d5ec52a6d0302f3add25","1","7","161613","https://p.scdn.co/mp3-preview/2faec5a45bfcd5d499e561f96a710c84bae5197b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","68","spotify:user:recks11","2020-10-23T17:50:47Z","pop,pop rap","","Top Dawg Entertainment/RCA Records","P (P) 2017 Top Dawg Entertainment, under exclusive license to RCA Records"
"spotify:track:19woxaSpjOefa2JnAOoqW5","Garden (Say It Like Dat)","spotify:artist:7tYKF4w9nC0nq9CsPZTHyP","SZA","spotify:album:76290XdXVF9rPzGdNRWdCh","Ctrl","spotify:artist:7tYKF4w9nC0nq9CsPZTHyP","SZA","2017-06-09","https://i.scdn.co/image/ab67616d0000b2734c79d5ec52a6d0302f3add25","1","8","208400","https://p.scdn.co/mp3-preview/8da246ab3ba46f1ec85a38208e66468b49d3b62a?cid=9950ac751e34487dbbe027c4fd7f8e99","true","72","spotify:user:recks11","2020-10-23T17:50:47Z","pop,pop rap","","Top Dawg Entertainment/RCA Records","P (P) 2017 Top Dawg Entertainment, under exclusive license to RCA Records"
"spotify:track:5fQBa4wkmq28xpSLOQ202K","Normal Girl","spotify:artist:7tYKF4w9nC0nq9CsPZTHyP","SZA","spotify:album:76290XdXVF9rPzGdNRWdCh","Ctrl","spotify:artist:7tYKF4w9nC0nq9CsPZTHyP","SZA","2017-06-09","https://i.scdn.co/image/ab67616d0000b2734c79d5ec52a6d0302f3add25","1","12","253586","https://p.scdn.co/mp3-preview/2ece70ffb9feeeef78522135fbe4b9abbb3a100d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","73","spotify:user:recks11","2020-10-23T17:50:47Z","pop,pop rap","","Top Dawg Entertainment/RCA Records","P (P) 2017 Top Dawg Entertainment, under exclusive license to RCA Records"
"spotify:track:1mQI744KrltnCU798zIGEe","Happy Without Me (feat. Joey Bada$$)","spotify:artist:0AsThoR4KZSVktALiNcQwW, spotify:artist:2P5sC9cVZDToPxyomzF1UH","Chloe x Halle, Joey Bada$$","spotify:album:26mqgId4rrypPiYnN9tXuX","The Kids Are Alright","spotify:artist:0AsThoR4KZSVktALiNcQwW","Chloe x Halle","2018-03-23","https://i.scdn.co/image/ab67616d0000b273c802775235748dd21e1c6b12","1","11","206946","https://p.scdn.co/mp3-preview/96ce71a63a74f310ef72563f4be51d0ab8a0ffc7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","spotify:user:recks11","2020-10-23T17:50:47Z","alternative r&b,dance pop,pop,pop rap,post-teen pop,r&b,conscious hip hop,hip hop,rap,underground hip hop","","Parkwood Entertainment/Columbia","P (P) 2017, 2018 Parkwood Entertainment LLC, under exclusive license to Columbia Records, a Division of Sony Music Entertainment"
