"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:5DS9LiyEdw2zY8bM6kjjgM","Infinity (feat. Omah Lay)","spotify:artist:4ovtyvs7j1jSmwhkBGHqSr, spotify:artist:5yOvAmpIR7hVxiS6Ls5DPO","Olamide, Omah Lay","spotify:album:6fG2eFCgUmytQWL6umtsCh","Carpe Diem","spotify:artist:4ovtyvs7j1jSmwhkBGHqSr","Olamide","2020-10-07","https://i.scdn.co/image/ab67616d0000b27387d20b9a27d5e14d74b5cb77","1","3","171764","https://p.scdn.co/mp3-preview/bd875491c20ecbd52745df82c8567224f3c1a2b7?cid=9950ac751e34487dbbe027c4fd7f8e99","true","68","spotify:user:recks11","2020-12-12T22:56:17Z","afro dancehall,afropop,azonto,azontobeats,nigerian hip hop,nigerian pop,nigerian pop","0.93","0.535","7","-8.755","0","0.111","0.303","0.0201","0.146","0.518","102.017","4","","YBNL Nation / EMPIRE","C 2020 YBNL Nation / EMPIRE, P 2020 YBNL Nation / EMPIRE"
"spotify:track:18t2ofQiViidZHxOBVjpD1","Koroba","spotify:artist:1hNaHKp2Za5YdOAG0WnRbc","Tiwa Savage","spotify:album:0v0pKqegGprcnGYUGitYvO","Celia","spotify:artist:1hNaHKp2Za5YdOAG0WnRbc","Tiwa Savage","2020-08-27","https://i.scdn.co/image/ab67616d0000b27325bececcdc7bcade57bec01b","1","4","153876","https://p.scdn.co/mp3-preview/f46c74b4187c412652a50fe6e5b4fd8fcec15304?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","spotify:user:recks11","2020-12-12T22:56:46Z","afro dancehall,afropop,azonto,azontobeats,nigerian hip hop,nigerian pop","0.85","0.645","11","-6.302","0","0.0611","0.358","0.0000112","0.0925","0.93","104.022","4","","Universal Music (Pty) Ltd.","C © 2020 Universal Music (Pty) Ltd South Africa, P Motown, Island Records, Universal Music South Africa; ℗ 2020 Universal Music (Pty) Ltd South Africa"
"spotify:track:4Pc6lexQXoDeExGFhpgg6g","Indomie","spotify:artist:1VsvlBp2dqKk2g9EVFvxXg, spotify:artist:4ovtyvs7j1jSmwhkBGHqSr, spotify:artist:0Y3agQaa6g2r0YmHPOO9rh","CDQ, Olamide, DaVido","spotify:album:69FAZuj9OPgbrjhqbPGoM1","Quality","spotify:artist:1VsvlBp2dqKk2g9EVFvxXg","CDQ","2016-08-22","https://i.scdn.co/image/ab67616d0000b273db1634e40723f7995923aa60","1","16","261067","https://p.scdn.co/mp3-preview/3417506490f4a71b61adfac0a1a6ed2a7112e814?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","spotify:user:recks11","2020-12-18T19:31:54Z","afropop,nigerian hip hop,nigerian pop,afro dancehall,afropop,azonto,azontobeats,nigerian hip hop,nigerian pop,afropop,ghanaian hip hop,nigerian pop","0.599","0.764","2","-4.117","1","0.293","0.118","0","0.0614","0.407","127.496","4","","GENERAL RECORDS","C 2016 GENERAL RECORDS, P 2016 GENERAL RECORDS"
"spotify:track:6oYhzCdeYZYoKsNBUsKnL8","Ushamba - Remix","spotify:artist:1eCaedusgydlcn69blHOvL, spotify:artist:5DfaMudUwkoz6TAPYifqkJ","Harmonize, Naira Marley","spotify:album:3XvRCErZoOTVL79dJ2xOrj","Ushamba (Remix)","spotify:artist:1eCaedusgydlcn69blHOvL","Harmonize","2020-12-16","https://i.scdn.co/image/ab67616d0000b2739668ba513b38ed17fdfbf579","1","1","189413","https://p.scdn.co/mp3-preview/77cf39ea76e5a5cde9a9a8efdf41e646025caf55?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","spotify:user:recks11","2020-12-19T23:34:12Z","azontobeats,bongo flava,tanzanian pop,ugandan pop,afro dancehall,afropop,afroswing,azontobeats,nigerian pop","0.882","0.841","11","-5.185","0","0.23","0.484","0","0.0904","0.896","118.08","4","","Konde Music WorldWide","C 2020 Konde Music Worldwide, P 2020 Konde Music Worldwide"
"spotify:track:1AZZ51VoQb3Ujv3Mtp6YeW","Rata","spotify:artist:7BWNRZyZ9mhgp5t0m7Ny0n","Deejay Telio","spotify:album:3593GrKlaF4IcrVAsxXQFj","Rata","spotify:artist:7BWNRZyZ9mhgp5t0m7Ny0n","Deejay Telio","2020-01-17","https://i.scdn.co/image/ab67616d0000b2738027a3bd92a06e793ea695a0","1","1","195600","https://p.scdn.co/mp3-preview/ef1bb1235fccbd181cdd3e64794a187862be1eb8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","spotify:user:recks11","2020-12-20T02:02:52Z","batida,funana,hip hop tuga,portuguese pop,rap angolano","0.818","0.318","7","-10.937","0","0.307","0.147","0.0237","0.0995","0.675","130.055","4","","SAF©Entertainment","C 2020 SAF©Entertainment, P 2020 SAF©Entertainment"
"spotify:track:0aUfOf3FhEd8IKCjCHJDky","No Kissing Baby","spotify:artist:2hKQc001G7ggs3ZyxMdkGq, spotify:artist:01DTVE3KmoPogPZaOvMqO8","Patoranking, Sarkodie","spotify:album:1BDk1Fo6GHwaHRFlMiZPvR","God Over Everything","spotify:artist:2hKQc001G7ggs3ZyxMdkGq","Patoranking","2016-01-01","https://i.scdn.co/image/ab67616d0000b273de61c5e142856c9cd7ed1998","1","9","221600","https://p.scdn.co/mp3-preview/037b1f30af6e482b6b9dbf1c26093393428c0d2f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","spotify:user:recks11","2020-12-21T05:09:22Z","afro dancehall,afropop,azontobeats,gqom,nigerian pop,afro dancehall,afropop,azonto,azontobeats,ghanaian hip hop,hiplife","0.766","0.724","0","-6.631","1","0.0741","0.16","0.00000342","0.0262","0.912","104.999","4","","Universal Music (Pty) Ltd.","C © 2016 Firerepublik, P ℗ 2016 Firerepublik"
"spotify:track:38rALFdk7w7olttXqJa5ar","Anyhow","spotify:artist:6IhG3Yxm3UW98jhyBvrIut, spotify:artist:6TtJcr9BKZmb0N4BkeCfA1, spotify:artist:5VwA0gSt39aqqvA1SEJxoU, spotify:artist:3jByrxQcxQjkdU442RKEZF","Tekno, OG, Flimzy, Selebobo","spotify:album:0YiPSGKWGNsZiLSDmHud0l","Anyhow","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2018-02-10","https://i.scdn.co/image/ab67616d0000b273cd90359a183369d2242db2bc","1","1","226037","https://p.scdn.co/mp3-preview/4fe860493275f98c44683629f7c33867839eb5fb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","spotify:user:recks11","2020-12-21T05:09:27Z","afropop,azontobeats,nigerian hip hop,nigerian pop,afro dancehall,afropop,azontobeats,nigerian pop","0.899","0.797","7","-3.151","1","0.0797","0.166","0.0675","0.0585","0.788","119.996","4","","MADE MEN MUSIC GROUP","C 2018 MADE MEN MUSIC GROUP, P 2018 MMMG / Cartel"
"spotify:track:0WeN52xa8nBDBfKsaiKJ0i","If","spotify:artist:0Y3agQaa6g2r0YmHPOO9rh","DaVido","spotify:album:0s3BbZlcqsUdAD8wIYdO5n","A Good Time","spotify:artist:0Y3agQaa6g2r0YmHPOO9rh","DaVido","2019-11-22","https://i.scdn.co/image/ab67616d0000b273073398181f451cdd4b31b4d8","1","5","237714","https://p.scdn.co/mp3-preview/affc9666a98d5755052e307db2f6e13f831e59c1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","spotify:user:recks11","2020-12-21T05:13:40Z","afropop,ghanaian hip hop,nigerian pop","0.951","0.661","7","-2.678","0","0.0612","0.397","0","0.0686","0.926","104.997","4","","Columbia","P (P) 2019 Davido Worldwide Entertainment LLC under exclusive licence to Sony Music Entertainment UK Limited"
"spotify:track:7H3tfdSy1cBxoTsXxDq03p","Juice (feat. Maleek Berry)","spotify:artist:5zqRdlPXeCIuxgaPimSKXj, spotify:artist:520qA5VGL9iI0SbmEnTVNg","Ycee, Maleek Berry","spotify:album:7sxyMH4SWKrHDnpghUV4Dw","Juice (feat. Maleek Berry)","spotify:artist:5zqRdlPXeCIuxgaPimSKXj","Ycee","2017-03-31","https://i.scdn.co/image/ab67616d0000b2737235213b2f505206cafdaf6b","1","1","250920","https://p.scdn.co/mp3-preview/ba01c578444dd82241769861ee0f595d4f86c8ed?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","spotify:user:recks11","2020-12-21T05:24:51Z","afro dancehall,afropop,azontobeats,nigerian hip hop,nigerian pop,afropop,azontobeats,nigerian pop,swedish dancehall,uk dancehall","0.812","0.657","1","-2.77","1","0.0738","0.496","0.0024","0.091","0.749","109.998","4","","SM Entertainment West Africa Limited","P 2017 South Africa - Sony Music Entertainment Africa (Pty) Ltd, under exclusive licence from Tinny Entertainment, Nigeria"
"spotify:track:2dguh4zWtrZK6VIJsEsXhe","Wo Onane No","spotify:artist:3RdldZQW8cYFLEDEH7haJe","Kwamz & Flava","spotify:album:5sJDwsKEbIfoNwIT3sJ9bp","DeYaaa","spotify:artist:3RdldZQW8cYFLEDEH7haJe","Kwamz & Flava","2014-11-01","https://i.scdn.co/image/ab67616d0000b2732b0b25a1fdec7051788f4794","1","8","209502","https://p.scdn.co/mp3-preview/effce1a3031bcb666774b40a45472e12ed301423?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","spotify:user:recks11","2020-12-21T05:25:09Z","afro dancehall,afropop,azontobeats","0.842","0.61","9","-6.91","1","0.096","0.0281","0.0288","0.0927","0.644","110.003","4","","Coast 2 Coast ENT","C 2014 Coast 2 Coast ENT, P 2014 Coast 2 Coast ENT"
