Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
69D5540LOMCTuTCtV14xn9,"1fPa3fXJDNiSCfF9U8uvaT","Balaya","Balaya","A-Star",2019-02-15,158863,47,spotify:user:recks11,2020-10-23T18:16:31Z,"ghanaian pop",0.799,0.723,6,-9.011,1,0.0643,0.00545,0.735,0.0719,0.688,127.014,4
57zEbGuOa9Skogmm0WdOzM,"0pkwrPVI8UyXtPkavyJoZ4","Love N Hennessy","ON GAZ","A.CHAL",2017-06-02,207800,56,spotify:user:recks11,2020-10-23T18:16:31Z,"trap soul,underground hip hop",0.931,0.306,8,-9.979,0,0.453,0.0128,0.00000859,0.0708,0.457,140.039,4
6WkJ2OK163XXS2oARUC9JM,"77qukKzmdI5BeMBR7WGUrN,17TFSnqADESRM8BPSaM5aB,6dqohi36avY0M9urnyhITr","Dancin (feat. Luvli) - Krono Remix","Dancin (feat. Luvli) [Krono Remix]","Aaron Smith,Krono,Luvli",2014-11-07,198053,81,spotify:user:recks11,2020-10-23T18:16:31Z,"chicago house",0.72,0.741,10,-6.529,0,0.0287,0.101,0.0000141,0.289,0.357,119.896,4
4KXwFI9pgJLpUIAc9oSL8j,"0g9vAlRPK9Gt3FKCekk4TW,3jK9MiCrA42lLAdMGUZpwa,53KwLdlmrlCelAZMaLVZqU","Bloody Waters (with Anderson .Paak & James Blake)","Black Panther The Album Music From And Inspired By","Ab-Soul,Anderson .Paak,James Blake",2018-02-09,272306,61,spotify:user:recks11,2020-10-23T18:16:31Z,"alternative hip hop,conscious hip hop,escape room,hip hop,rap,southern hip hop,underground hip hop,indie soul,uk alternative pop",0.507,0.606,8,-8.758,1,0.452,0.185,0,0.174,0.202,180.607,4
71NeNcFTkxPPaGf1Er96Ss,"5LuLeXlnT2jFxbx7Cg7j88","Best Friend","Thoughts & Moments Vol. 1 Mixtape","Ady Suleiman",2019-04-05,219065,46,spotify:user:recks11,2020-10-23T18:16:31Z,"indie soul,uk contemporary r&b",0.708,0.488,1,-7.896,1,0.264,0.616,0,0.0823,0.774,160.083,4
6LGjoJnn83DzFvh0lQC023,"4Icvbp9RDt5aY2TWDOVDsr","Crazy Rap (Colt 45 & 2 Zig Zags)","The Good Times","Afroman",2001-01-01,330066,0,spotify:user:recks11,2020-10-23T18:16:31Z,"comedy rap,gangster rap,hip hop,rap",0.928,0.371,9,-7.778,1,0.381,0.304,0,0.161,0.558,99.039,4
1CwRFMS5BYudsGXaY0k48M,"0z4gvV4rjIZ9wHck67ucSV,4obzFoKoKRHIphyHzJ35G3","Como No (feat. Becky G)","El Negreeto","Akon,Becky G",2019-10-04,193165,51,spotify:user:recks11,2020-10-23T18:16:31Z,"dance pop,latin,latin pop,latin viral pop,pop,post-teen pop,rap latina,reggaeton,trap latino",0.763,0.83,9,-4.496,0,0.0457,0.0685,0.00505,0.062,0.87,89.98,4
664gdARxaClFsoF5SXKOws,"2wUjUUtkb5lvLKcGKsKqsR","Here","Know-It-All (Deluxe)","Alessia Cara",2016-03-11,199453,69,spotify:user:recks11,2020-10-23T18:16:31Z,"alt z,canadian contemporary r&b,canadian pop,dance pop,electropop,pop,post-teen pop",0.376,0.822,0,-3.974,1,0.104,0.0783,0,0.0841,0.327,120.493,4
7eXT7U3FKrOM88xr1DsNwc,"2wUjUUtkb5lvLKcGKsKqsR","Trust My Lonely","The Pains Of Growing","Alessia Cara",2018-11-30,199746,55,spotify:user:recks11,2020-10-23T18:16:31Z,"alt z,canadian contemporary r&b,canadian pop,dance pop,electropop,pop,post-teen pop",0.613,0.668,0,-6.134,1,0.162,0.00421,0.00000206,0.324,0.622,150.171,4
75MKHk9JSlu8MOixmQ982v,"2wUjUUtkb5lvLKcGKsKqsR","A Little More","A Little More","Alessia Cara",2018-07-11,144720,50,spotify:user:recks11,2020-10-23T18:16:31Z,"alt z,canadian contemporary r&b,canadian pop,dance pop,electropop,pop,post-teen pop",0.376,0.211,4,-11.665,1,0.0364,0.797,0,0.196,0.228,94.7,3
1JoKpcJgwX7d7PeMrg08pk,"2wUjUUtkb5lvLKcGKsKqsR","Outlaws","Know-It-All (Deluxe)","Alessia Cara",2016-03-11,203026,45,spotify:user:recks11,2020-10-23T18:16:31Z,"alt z,canadian contemporary r&b,canadian pop,dance pop,electropop,pop,post-teen pop",0.362,0.789,2,-5.106,1,0.285,0.138,0,0.373,0.388,110.412,3
0prNGof3XqfTvNDxHonvdK,"2wUjUUtkb5lvLKcGKsKqsR","Scars To Your Beautiful","Know-It-All (Deluxe)","Alessia Cara",2015-11-13,230226,75,spotify:user:recks11,2020-10-23T18:16:31Z,"alt z,canadian contemporary r&b,canadian pop,dance pop,electropop,pop,post-teen pop",0.573,0.739,0,-5.74,1,0.129,0.0285,0,0.111,0.451,97.085,4
4VySpxhRGy32u5zPCprzDn,"5Tf4EH8tDvznnjULcFxkIl","Too Close","The Lateness Of The Hour","Alex Clare",2011-01-01,256613,63,spotify:user:recks11,2020-10-23T18:16:31Z,"modern alternative rock",0.588,0.694,11,-4.278,0,0.0387,0.00948,0,0.113,0.271,126.027,4
5dxHF4lrDimKqnI3GaZUmC,"3DiDSECUqqY1AuBP8qtaIa,7vWlb4pM85jCHvV771qZZW,302jOsgU7aZW71XhLem57k","Diary (feat. Tony! Toni! Tone! & Jermaine Paul)","The Diary Of Alicia Keys","Alicia Keys,Tony! Toni! Toné!,Jermaine Paul",2003-12-02,284160,57,spotify:user:recks11,2020-10-23T18:16:31Z,"hip pop,neo soul,pop,r&b,urban contemporary,dance pop,funk,new jack swing,quiet storm,soul,deep talent show",0.664,0.465,8,-9.711,0,0.0317,0.559,0.00174,0.125,0.281,127.932,4
4jdmvZ64AR3IR9G59IFTKq,"6hfwwpXqZPRC9CsKI7qtv1","Fallin","The Color Of You","Alina Baraz",2018-04-06,246183,49,spotify:user:recks11,2020-10-23T18:16:31Z,"alternative r&b,electropop,etherpop,pop",0.589,0.466,0,-9.049,1,0.215,0.339,0.0000291,0.155,0.343,87.117,4
2mj7x99sNUsVHPBRK51zlG,"6hfwwpXqZPRC9CsKI7qtv1,6LuN9FCkKOj5PcnpouEgny","Electric (feat. Khalid)","The Color Of You","Alina Baraz,Khalid",2018-04-06,246327,72,spotify:user:recks11,2020-10-23T18:16:31Z,"alternative r&b,electropop,etherpop,pop",0.599,0.396,10,-10.489,0,0.0392,0.738,0.0000219,0.102,0.134,111.072,4
17YuXw2ScwLLL1sUrRKhoW,"6hfwwpXqZPRC9CsKI7qtv1,0tOrKkXIn3VYyVHFEPG6Xd","Fantasy","Urban Flora","Alina Baraz,Galimatias",2015-05-19,218947,56,spotify:user:recks11,2020-10-23T18:16:31Z,"alternative r&b,electropop,etherpop,pop,chillstep,future bass,indie soul,vapor soul,vapor twitch",0.68,0.747,4,-6.056,0,0.091,0.353,0,0.138,0.331,113.933,4
1cSpPl4FhWtft5fUTqRr8f,"6hfwwpXqZPRC9CsKI7qtv1,0tOrKkXIn3VYyVHFEPG6Xd","Unfold","Urban Flora","Alina Baraz,Galimatias",2015-05-19,272142,46,spotify:user:recks11,2020-10-23T18:16:31Z,"alternative r&b,electropop,etherpop,pop,chillstep,future bass,indie soul,vapor soul,vapor twitch",0.63,0.501,9,-8.714,0,0.0394,0.672,0.00131,0.237,0.192,111.932,4
2jYmE3Xg0iNDySUm4mqy6Q,"3vAaWhdBR38Q02ohXqaNHT","Dirty Little Secret","Move Along","The All-American Rejects",2005-01-01,194333,59,spotify:user:recks11,2020-10-23T18:16:31Z,"modern rock,neo mellow,pop punk,pop rock",0.467,0.957,10,-4.846,1,0.0454,0.000241,0.00000562,0.595,0.445,143.832,4
7gmvCrUNboD2If13FsIzGg,"1si6mnxJ6IpTOTW13ECa0o,6mA4csYsYvf4Mq02PleZEV,0r9XuUo5aHtAEZiWsOA0wT","That Good Ship","The Upper Hand","AllttA,20syl,Mr. J. Medeiros",2017-02-17,242139,42,spotify:user:recks11,2020-10-23T18:16:31Z,"popping,vapor twitch",0.853,0.543,1,-6.526,1,0.31,0.319,0,0.0824,0.728,99.965,4
5fD1cUWzVmReobKb6d24ft,"5hzFTGZcy6Rqme2qNC2vUm","Slip","Slip","AMA",2019-02-21,151920,39,spotify:user:recks11,2020-10-23T18:16:31Z,"",0.873,0.449,6,-4.095,0,0.161,0.0646,0.0000042,0.168,0.881,135.005,4
4GX3a2JQnA378fvt92WSqH,"2tAqnHDAgnGtjnlzyoa38L","NORTHSIDE","NORTHSIDE","Ama Lou",2019-10-02,209629,0,spotify:user:recks11,2020-10-23T18:16:31Z,"alternative r&b,chill r&b,indie soul,uk contemporary r&b",0.85,0.512,4,-9.573,0,0.33,0.181,0,0.223,0.522,141.999,4
4U5ovGD4My7MOISvUEtYaf,"3Gm5F95VdRxW3mqCn8RPBJ,3nf2EaHj8HikLNdaiW3v73","Campfire","Campfire","Aminé,Injury Reserve",2018-04-06,135013,57,spotify:user:recks11,2020-10-23T18:16:31Z,"hip hop,pop rap,portland hip hop,rap,underground hip hop,alternative hip hop,conscious hip hop,escape room",0.885,0.365,6,-14.107,1,0.263,0.00112,0,0.264,0.637,100.048,4
2qpX5WY7A7uLLLQfFpvRDK,"3Gm5F95VdRxW3mqCn8RPBJ","DR. WHOEVER","ONEPOINTFIVE","Aminé",2018-08-15,259226,58,spotify:user:recks11,2020-10-23T18:16:31Z,"hip hop,pop rap,portland hip hop,rap,underground hip hop",0.639,0.332,5,-11.482,1,0.378,0.64,0,0.0518,0.866,83.306,4
5qHirGR7M9tdm6C17DlzSY,"3Gm5F95VdRxW3mqCn8RPBJ","REEL IT IN","ONEPOINTFIVE","Aminé",2018-08-15,121346,77,spotify:user:recks11,2020-10-23T18:16:31Z,"hip hop,pop rap,portland hip hop,rap,underground hip hop",0.754,0.342,10,-8.677,0,0.0991,0.073,0,0.193,0.423,128.981,4
