"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:7ovOQ0x2mgakcGodDD1BPU","In Love","spotify:artist:2rwALQ1SXdfUWPUd6WOfYS","Aaron May","spotify:album:2LT7lNoWT6svQOEUeSrbyH","CHASE","spotify:artist:2rwALQ1SXdfUWPUd6WOfYS","Aaron May","2019-02-28","https://i.scdn.co/image/ab67616d0000b2738fecf610f57f9c3e6df2dc42","1","3","232510","https://p.scdn.co/mp3-preview/0ab0a6aae05597a7426cdede14f2decdb3c36522?cid=9950ac751e34487dbbe027c4fd7f8e99","true","60","spotify:user:recks11","2020-12-11T00:41:30Z","hip hop,rap,underground hip hop","0.725","0.478","1","-6.605","0","0.107","0.647","0.00000251","0.151","0.338","74.983","4","","MOVEINTHEAM / EMPIRE","C 2019 MOVEINTHEAM / EMPIRE, P 2019 MOVEINTHEAM / EMPIRE"
"spotify:track:5RRHPQ5GiB16VcRr0JsdRt","Gwendolynn's Apprehension","spotify:artist:1FvjvACFvko2Z91IvDljrx","Mick Jenkins","spotify:album:2YUoojiwp6nk5mBAUbEz9a","Pieces of a Man","spotify:artist:1FvjvACFvko2Z91IvDljrx","Mick Jenkins","2018-10-26","https://i.scdn.co/image/ab67616d0000b27397735761179f880b86c6031e","1","3","225533","https://p.scdn.co/mp3-preview/055d09216316f9cb1e649904909d769033441935?cid=9950ac751e34487dbbe027c4fd7f8e99","true","50","spotify:user:recks11","2020-12-11T00:41:43Z","chicago rap,conscious hip hop,drill,escape room,hip hop,rap,underground hip hop","0.556","0.893","8","-4.771","1","0.303","0.748","0","0.12","0.68","91.352","4","","Cinematic Music Group","C © 2018 Free Nation / Cinematic Music Group, P ℗ 2018 Free Nation/Cinematic Music Group"
"spotify:track:21jGcNKet2qwijlDFuPiPb","Circles","spotify:artist:246dkjvS1zLTtiykXe5h60","Post Malone","spotify:album:4g1ZRSobMefqF6nelkgibi","Hollywood's Bleeding","spotify:artist:246dkjvS1zLTtiykXe5h60","Post Malone","2019-09-06","https://i.scdn.co/image/ab67616d0000b2739478c87599550dd73bfa7e02","1","6","215280","https://p.scdn.co/mp3-preview/9cb3c8b7ccb399c2c5346ac424cc59be9fef3c98?cid=9950ac751e34487dbbe027c4fd7f8e99","false","89","spotify:user:recks11","2020-12-11T00:42:50Z","dfw rap,melodic rap,rap","0.695","0.762","0","-3.497","1","0.0395","0.192","0.00244","0.0863","0.553","120.042","4","","Republic Records","C © 2019 Republic Records, a division of UMG Recordings, Inc., P ℗ 2019 Republic Records, a division of UMG Recordings, Inc."
"spotify:track:6pzWZe7LIcfKzriMIk6opx","OooWee","spotify:artist:6NL31G53xThQXkFs7lDpL5, spotify:artist:3jK9MiCrA42lLAdMGUZpwa","Rapsody, Anderson .Paak","spotify:album:2RpmZvo7tIJsMaxXfj33k2","Crown","spotify:artist:6NL31G53xThQXkFs7lDpL5","Rapsody","2016-11-17","https://i.scdn.co/image/ab67616d0000b273c88548d8be6edef5730463fb","1","9","270785","https://p.scdn.co/mp3-preview/40e0bf33dca09713695cc575df34022af6cafd0c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","55","spotify:user:recks11","2020-12-11T00:42:57Z","alternative hip hop,alternative r&b,escape room,hip hop,north carolina hip hop,southern hip hop,trap queen,underground hip hop,escape room","0.432","0.652","1","-8.745","1","0.32","0.00211","0","0.158","0.26","76.859","1","","Jamla Records / Culture Over Everything","C 2016 Jamla Records / Culture Over Everything, P 2016 Jamla Records / Culture Over Everything"
"spotify:track:2sqsNXfN0HtgDEgaHXiUTa","Won't Be Late (feat. Drake)","spotify:artist:1zNqQNIdeOUZHb8zbZRFMX, spotify:artist:3TVXtAsR1Inumwj472S9r4","Swae Lee, Drake","spotify:album:4v0FSMsulZqfi28KIdwDfb","Won't Be Late (feat. Drake)","spotify:artist:1zNqQNIdeOUZHb8zbZRFMX","Swae Lee","2019-08-16","https://i.scdn.co/image/ab67616d0000b27316755a5a392866488c4087f6","1","1","218709","https://p.scdn.co/mp3-preview/7b85e86793e18ceef9df4fb677ef0d234e53a0cc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","spotify:user:recks11","2020-12-11T00:43:12Z","melodic rap,pop rap,trap,canadian hip hop,canadian pop,hip hop,pop rap,rap,toronto rap","0.915","0.588","7","-6.302","0","0.0677","0.0824","0.000169","0.104","0.329","123.936","4","","Eardruma Records/Interscope Records","C © 2019 Eardruma Records/Interscope Records, P ℗ 2019 Eardruma Records/Interscope Records"
"spotify:track:3gTTDjDha02XJ4xuS2KF0e","The Look of Love, Pt. 1","spotify:artist:1020a42xVklY6c56imNcaa","Slum Village","spotify:album:50235H1xQYRg7OaeEUc4ta","J-88","spotify:artist:1020a42xVklY6c56imNcaa","Slum Village","2009-04-15","https://i.scdn.co/image/ab67616d0000b273fa4c265d11248bc5385ae30a","1","2","218079","https://p.scdn.co/mp3-preview/3db9776b1ee9f3b6f6fe0958442d44423fbf1a5b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","56","spotify:user:recks11","2020-12-11T00:45:47Z","alternative hip hop,detroit hip hop,hip hop,indie soul,neo soul","0.873","0.586","7","-5.184","1","0.241","0.191","0","0.0849","0.533","92.907","4","","Ne’Astra Music","C 2009 Barak Entertainment, P 2009 Barak Entertainment"
"spotify:track:1lYNuI1wNBysV7zritlV7U","Tricky - A COLORS ENCORE","spotify:artist:0fjaIHFhiW9vWX8bncZCOo","Jelani Blackman","spotify:album:6eptpCzX6vr63rWyyKX2hi","Tricky - A COLORS ENCORE","spotify:artist:0fjaIHFhiW9vWX8bncZCOo","Jelani Blackman","2020-08-11","https://i.scdn.co/image/ab67616d0000b27370b117cd13e8438b4bfce931","1","1","215168","https://p.scdn.co/mp3-preview/98674b90dd8c2db65e8fe7a5f4a6687c84a83bed?cid=9950ac751e34487dbbe027c4fd7f8e99","true","34","spotify:user:recks11","2020-12-11T00:46:15Z","london rap,uk alternative hip hop","0.65","0.512","9","-14.078","0","0.576","0.395","0","0.0943","0.673","135.073","5","","COLORSXSTUDIOS","C © 2020 COLORSxSTUDIOS, P ℗ 2020 COLORSxSTUDIOS"
"spotify:track:3AM2ihc5RFzbC47eCpTg2I","Waves","spotify:artist:2P5sC9cVZDToPxyomzF1UH","Joey Bada$$","spotify:album:5ra51AaWF3iVebyhlZ1aqq","1999","spotify:artist:2P5sC9cVZDToPxyomzF1UH","Joey Bada$$","2012-06-12","https://i.scdn.co/image/ab67616d0000b273fcd3724fba954e6104e4530d","1","2","211630","https://p.scdn.co/mp3-preview/b6e861739697120ff0f946db30630d8cc69316da?cid=9950ac751e34487dbbe027c4fd7f8e99","true","57","spotify:user:recks11","2020-12-11T00:56:34Z","conscious hip hop,hip hop,rap,underground hip hop","0.733","0.912","8","-3.239","0","0.223","0.223","0","0.206","0.888","89.947","4","","PRO ERA / EMPIRE","C 2012 PRO ERA / EMPIRE, P 2012 PRO ERA / EMPIRE"
"spotify:track:46Lx5epWOQBA3J86ovnxmV","Workin Out","spotify:artist:6U3ybJ9UHNKEdsH7ktGBZ7","JID","spotify:album:2oI6gtIXrvNiL2VEMmj5kY","DiCaprio 2","spotify:artist:6U3ybJ9UHNKEdsH7ktGBZ7","JID","2018-11-26","https://i.scdn.co/image/ab67616d0000b273f5991f6f1f0de2277bb8d948","1","7","226858","https://p.scdn.co/mp3-preview/60b5da5ad15be46bffce762360c85a6af1da85cb?cid=9950ac751e34487dbbe027c4fd7f8e99","true","63","spotify:user:recks11","2020-12-11T00:56:44Z","hip hop,rap,underground hip hop","0.818","0.57","10","-8.067","0","0.285","0.384","0.000102","0.19","0.561","126.938","4","","J. Cole/ DreamVille","C © 2018 Dreamville/Interscope, P ℗ 2018 Dreamville/Interscope"
"spotify:track:78QR3Wp35dqAhFEc2qAGjE","Drip Too Hard (Lil Baby & Gunna)","spotify:artist:5f7VJjfbwm532GiveGC0ZK, spotify:artist:2hlmm7s2ICUX0LVIhVFlZQ","Lil Baby, Gunna","spotify:album:2yXnY2NiaZk9QiJJittS81","Drip Harder","spotify:artist:5f7VJjfbwm532GiveGC0ZK, spotify:artist:2hlmm7s2ICUX0LVIhVFlZQ","Lil Baby, Gunna","2018-10-05","https://i.scdn.co/image/ab67616d0000b273ce159a3ba2096e13fa9d4b4c","1","12","145542","https://p.scdn.co/mp3-preview/418f885b9ea44980d1583006514339c24a5aac9b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","82","spotify:user:recks11","2020-12-11T00:58:14Z","atl hip hop,atl trap,rap,trap,atl hip hop,melodic rap,rap,trap","0.897","0.662","1","-6.903","0","0.292","0.0852","0","0.534","0.389","112.511","4","","Quality Control Music/Young Stoner Life Records, a 300 Entertainment Label/Motown Records/Capitol Records","C © 2018 Quality Control Music, LLC, under exclusive license to UMG Recordings, Inc., P Quality Control Music/Young Stoner Life Records, a 300 Entertainment Label/Motown Records/Capitol Records; ℗ 2018 Quality Control Music, LLC, under exclusive license to UMG Recordings, Inc."
