"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:0cQVqPuHQP4KEwc7ZUQmj6","Sweater Weather","spotify:artist:77SW9BnxLY8rJ0RciFqkHh","The Neighbourhood","spotify:album:6iu2XwoDlKg0VYte9qAbnr","I Love You.","spotify:artist:77SW9BnxLY8rJ0RciFqkHh","The Neighbourhood","2013-04-19","https://i.scdn.co/image/ab67616d0000b27386c35270fc14d54d4f55cc44","1","4","240426","https://p.scdn.co/mp3-preview/6668b46d1060596e812d6c4fa78db9829dea6679?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","spotify:user:recks11","2020-11-17T04:14:44Z","modern alternative rock,modern rock,pop","0.613","0.808","10","-2.851","1","0.0346","0.0426","0.0159","0.102","0.38","124.037","4","","Columbia","P (P) 2012, 2013 Columbia Records, a Division of Sony Music Entertainment"
"spotify:track:5ji8WlqOBtVRCQK9HmHz2x","A Little Death","spotify:artist:77SW9BnxLY8rJ0RciFqkHh","The Neighbourhood","spotify:album:6iu2XwoDlKg0VYte9qAbnr","I Love You.","spotify:artist:77SW9BnxLY8rJ0RciFqkHh","The Neighbourhood","2013-04-19","https://i.scdn.co/image/ab67616d0000b27386c35270fc14d54d4f55cc44","1","11","209706","https://p.scdn.co/mp3-preview/24b2c604d32a84d698a421142680128eea3a1d21?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","spotify:user:recks11","2020-11-17T04:14:51Z","modern alternative rock,modern rock,pop","0.53","0.763","6","-4.712","0","0.0332","0.0026","0.00000186","0.105","0.338","88.013","4","","Columbia","P (P) 2012, 2013 Columbia Records, a Division of Sony Music Entertainment"
"spotify:track:3ge4UtIlwtQfhCzVmyN0Le","W.D.Y.W.F.M?","spotify:artist:77SW9BnxLY8rJ0RciFqkHh","The Neighbourhood","spotify:album:6iu2XwoDlKg0VYte9qAbnr","I Love You.","spotify:artist:77SW9BnxLY8rJ0RciFqkHh","The Neighbourhood","2013-04-19","https://i.scdn.co/image/ab67616d0000b27386c35270fc14d54d4f55cc44","1","7","259413","https://p.scdn.co/mp3-preview/cc3c2d8a80d4da7e2b19d29f416dca297c082ef5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","spotify:user:recks11","2020-11-17T04:15:17Z","modern alternative rock,modern rock,pop","0.561","0.844","8","-2.911","0","0.0332","0.0358","0.00829","0.362","0.547","124.005","4","","Columbia","P (P) 2012, 2013 Columbia Records, a Division of Sony Music Entertainment"
"spotify:track:6UzXz68onk5GR7kO8s5jQc","Flawless","spotify:artist:77SW9BnxLY8rJ0RciFqkHh","The Neighbourhood","spotify:album:6iu2XwoDlKg0VYte9qAbnr","I Love You.","spotify:artist:77SW9BnxLY8rJ0RciFqkHh","The Neighbourhood","2013-04-19","https://i.scdn.co/image/ab67616d0000b27386c35270fc14d54d4f55cc44","1","8","246493","https://p.scdn.co/mp3-preview/52d767be17e79e5dbd6044c3a394638346d9482a?cid=9950ac751e34487dbbe027c4fd7f8e99","true","46","spotify:user:recks11","2020-11-17T04:15:24Z","modern alternative rock,modern rock,pop","0.565","0.872","0","-3.452","1","0.0309","0.0558","0.554","0.298","0.352","120.004","4","","Columbia","P (P) 2012, 2013 Columbia Records, a Division of Sony Music Entertainment"
"spotify:track:2L4kTtMBfXbSAdUepgIGcs","How","spotify:artist:77SW9BnxLY8rJ0RciFqkHh","The Neighbourhood","spotify:album:6iu2XwoDlKg0VYte9qAbnr","I Love You.","spotify:artist:77SW9BnxLY8rJ0RciFqkHh","The Neighbourhood","2013-04-19","https://i.scdn.co/image/ab67616d0000b27386c35270fc14d54d4f55cc44","1","1","314826","https://p.scdn.co/mp3-preview/f662b40e8894b15f560a50622325af55468f3a1a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","spotify:user:recks11","2020-11-17T04:15:36Z","modern alternative rock,modern rock,pop","0.377","0.758","7","-5.717","0","0.038","0.00181","0.623","0.0702","0.0569","151.917","4","","Columbia","P (P) 2012, 2013 Columbia Records, a Division of Sony Music Entertainment"
"spotify:track:5v8aEcHcaJIGYpfVVPtJjI","Wires","spotify:artist:77SW9BnxLY8rJ0RciFqkHh","The Neighbourhood","spotify:album:4hRjuAxpm9X6h1H95QVgJ9","I'm Sorry...","spotify:artist:77SW9BnxLY8rJ0RciFqkHh","The Neighbourhood","2013-05-08","https://i.scdn.co/image/ab67616d0000b273ee14a6d816e596e176575962","1","3","193080","https://p.scdn.co/mp3-preview/37fa0a0c670172a30239a47112a4ccb47662bf9b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","spotify:user:recks11","2020-11-17T04:21:42Z","modern alternative rock,modern rock,pop","0.568","0.569","7","-6.013","0","0.0329","0.0004","0.102","0.342","0.266","72.991","4","","the [r]evolve group","P (P) 2012 the [r]evolve group"
"spotify:track:6NK6BSGwtmJ1HTOCYRWslQ","Lurk","spotify:artist:77SW9BnxLY8rJ0RciFqkHh","The Neighbourhood","spotify:album:2mKqHATk7WVbtazVkSe9w0","#000000 & #FFFFFF","spotify:artist:77SW9BnxLY8rJ0RciFqkHh","The Neighbourhood","2014-11-28","https://i.scdn.co/image/ab67616d0000b27399b792d6de97e6752f5233e8","1","2","214586","https://p.scdn.co/mp3-preview/f6a697649234c4ed530182d289245405f2872d3e?cid=9950ac751e34487dbbe027c4fd7f8e99","true","59","spotify:user:recks11","2020-11-17T04:16:06Z","modern alternative rock,modern rock,pop","0.723","0.653","0","-6.319","1","0.0347","0.0921","0.25","0.0881","0.193","125.444","4","","Columbia","P (P) 2014, 2017 Columbia Records, a Division of Sony Music Entertainment"
"spotify:track:3XdkoHjalwE7BYtR7nvdPm","warm (feat. Raury)","spotify:artist:77SW9BnxLY8rJ0RciFqkHh, spotify:artist:2PU4qFehXQF7WnlFsJpBiJ","The Neighbourhood, Raury","spotify:album:2mKqHATk7WVbtazVkSe9w0","#000000 & #FFFFFF","spotify:artist:77SW9BnxLY8rJ0RciFqkHh","The Neighbourhood","2014-11-28","https://i.scdn.co/image/ab67616d0000b27399b792d6de97e6752f5233e8","1","3","357066","https://p.scdn.co/mp3-preview/d0f3f536a10d07449c774ad3752501f1bd051563?cid=9950ac751e34487dbbe027c4fd7f8e99","true","50","spotify:user:recks11","2020-11-17T04:16:12Z","modern alternative rock,modern rock,pop,psychedelic hip hop","0.324","0.476","6","-8.577","0","0.0418","0.717","0.0591","0.0835","0.104","142.097","3","","Columbia","P (P) 2014, 2017 Columbia Records, a Division of Sony Music Entertainment"
"spotify:track:7BerVNuvBA1li04pN4XK7D","1 of those Weaks","spotify:artist:77SW9BnxLY8rJ0RciFqkHh","The Neighbourhood","spotify:album:2mKqHATk7WVbtazVkSe9w0","#000000 & #FFFFFF","spotify:artist:77SW9BnxLY8rJ0RciFqkHh","The Neighbourhood","2014-11-28","https://i.scdn.co/image/ab67616d0000b27399b792d6de97e6752f5233e8","1","5","194333","https://p.scdn.co/mp3-preview/52e3ee24fcd9b5e69b1fe4d007eec9c5f0374d0a?cid=9950ac751e34487dbbe027c4fd7f8e99","true","47","spotify:user:recks11","2020-11-17T04:16:17Z","modern alternative rock,modern rock,pop","0.68","0.602","2","-6.875","1","0.198","0.319","0.000344","0.103","0.313","82.538","4","","Columbia","P (P) 2014, 2017 Columbia Records, a Division of Sony Music Entertainment"
"spotify:track:26SzctPrO5Km59OHWst3rb","U&I","spotify:artist:77SW9BnxLY8rJ0RciFqkHh","The Neighbourhood","spotify:album:2mKqHATk7WVbtazVkSe9w0","#000000 & #FFFFFF","spotify:artist:77SW9BnxLY8rJ0RciFqkHh","The Neighbourhood","2014-11-28","https://i.scdn.co/image/ab67616d0000b27399b792d6de97e6752f5233e8","1","12","214293","https://p.scdn.co/mp3-preview/833b9def8c5792eb9a2ad8214277677df94a5590?cid=9950ac751e34487dbbe027c4fd7f8e99","true","48","spotify:user:recks11","2020-11-17T04:16:27Z","modern alternative rock,modern rock,pop","0.603","0.639","3","-6.86","0","0.0819","0.0237","0.00000996","0.705","0.503","143.062","3","","Columbia","P (P) 2014, 2017 Columbia Records, a Division of Sony Music Entertainment"
