number,name,artist,album,genres,duration,released
5,Say It Again,H.E.R.,H.E.R.,"alternative r&b,pop,r&b",172240,2017-10-20
3,Hold Me Down,Daniel Caesar,Freudian,"canadian contemporary r&b,pop",231267,2017-08-25
6,We Find Love,Daniel Caesar,Freudian,"canadian contemporary r&b,pop",254919,2017-08-25
3,Obsessive,Mila J,11.18,"alternative r&b,hip pop,pop r&b,r&b,trap queen,urban contemporary",197407,2017-11-16
3,PRBLMS,6LACK,FREE 6LACK,"alternative r&b,atl hip hop,hip hop,melodic rap,pop rap,rap,trap",246773,2016-11-18
1,'Til It's Over,Anderson .Paak,'Til It's Over,escape room,202080,2018-04-06
12,Crash,Mack Wilds,AfterHours,alternative r&b,197097,2017-04-07
5,All About Me,Syd,Fin,"alternative r&b,escape room,lgbtq+ hip hop",211066,2017-02-03
9,Body,Syd,Fin,"alternative r&b,escape room,lgbtq+ hip hop",262053,2017-02-03
1,No Drama (feat. Offset),Tinashe,No Drama (feat. Offset),"alternative r&b,dance pop,electropop,metropopolis,pop,pop r&b,pop rap,post-teen pop,r&b,urban contemporary,atl hip hop,hip hop,pop rap,rap,southern hip hop,trap",200130,2018-01-18
1,Rise,Solange,A Seat at the Table,"afrofuturism,alternative r&b,dance pop,escape room,hip pop,indie soul,neo soul,pop,r&b,urban contemporary",101813,2016-09-30
2,Weary,Solange,A Seat at the Table,"afrofuturism,alternative r&b,dance pop,escape room,hip pop,indie soul,neo soul,pop,r&b,urban contemporary",194253,2016-09-30
4,Cranes in the Sky,Solange,A Seat at the Table,"afrofuturism,alternative r&b,dance pop,escape room,hip pop,indie soul,neo soul,pop,r&b,urban contemporary",250973,2016-09-30
6,Mad (feat. Lil Wayne),Solange,A Seat at the Table,"afrofuturism,alternative r&b,dance pop,escape room,hip pop,indie soul,neo soul,pop,r&b,urban contemporary,hip hop,new orleans rap,pop rap,rap,trap",235493,2016-09-30
7,Don't You Wait,Solange,A Seat at the Table,"afrofuturism,alternative r&b,dance pop,escape room,hip pop,indie soul,neo soul,pop,r&b,urban contemporary",245906,2016-09-30
8,Interlude: Tina Taught Me,Solange,A Seat at the Table,"afrofuturism,alternative r&b,dance pop,escape room,hip pop,indie soul,neo soul,pop,r&b,urban contemporary",74866,2016-09-30
9,Don't Touch My Hair (feat. Sampha),Solange,A Seat at the Table,"afrofuturism,alternative r&b,dance pop,escape room,hip pop,indie soul,neo soul,pop,r&b,urban contemporary,alternative r&b,indie soul",257546,2016-09-30
